"x";"y"
4568.30349;42.4908
5605.1371;40.539
6877.29305;38.4665
8438.18071;36.4516
10353.33134;34.6254
12703.14936;32.9454
15586.28796;31.3347
19123.79092;29.7385
23464.17441;28.1693
28789.66221;26.7545
35323.83606;25.5044
43341.02238;24.2391
53177.80939;22.894
65247.17821;21.6693
80055.84123;20.6303
98225.51549;19.6157
120519.02454;18.5837
147872.32425;17.6186
181433.79738;16.743
222612.46653;15.9289
273137.14958;15.1449
335129.04125;14.3621
411190.76795;13.6032
504515.65468;12.9118
619021.79148;12.2761
759516.52792;11.6647
931898.30168;11.0483
1143404.27464;10.4741
1402914.17303;9.9995
1721323.08804;9.5591
2111998.88802;9.0972
2591343.4462;8.6396
3179481.24606;8.1972
3901104.27426;7.7415
4786508.6726;7.2549
5872866.67113;6.7989
7205787.20233;6.4284
8841230.71626;6.0967
10847858.58689;5.7673
13309915.74564;5.4428
16330767.56459;5.1282
