"x";"y"
4470.23009;40.0488
5496.72077;38.0328
6758.92261;36.1071
8310.96154;34.2637
10219.39229;32.4995
12566.05248;30.8182
15451.57191;29.2271
18999.68784;27.7368
23362.55108;26.3462
28727.25055;25.0155
35323.83606;23.7083
43435.18332;22.4469
53409.12428;21.2686
65673.36288;20.1771
80753.81596;19.1572
99297.16563;18.1944
122098.59045;17.2477
150135.86436;16.2871
184611.28572;15.3944
227003.23443;14.6511
279129.56807;14.0008
343225.57546;13.3396
422039.8307;12.6517
518952.05787;11.9752
638118.06084;11.3335
784647.93307;10.7363
964825.18935;10.1841
1186376.21634;9.6674
1458801.59664;9.1773
1793783.51407;8.7063
2205686.71077;8.2481
2712174.47808;7.7972
3334966.09634;7.3535
4100768.20411;6.9612
5042420.03609;6.6786
6200301.63978;6.4576
7624065.45849;6.1776
9374765.53436;5.8253
11527475.63656;5.4789
14174508.58525;5.2195
17429374.82306;5.1282
