"x";"y"
2515.15934;29.9145
3146.02048;28.1959
3935.11644;26.5576
4922.13622;25.0776
6156.72379;23.7101
7700.97497;22.3504
9632.56067;21.1078
12048.63351;19.9902
15070.71427;18.902
18850.80398;17.8256
23579.02913;16.8016
29493.20438;15.8329
36890.79394;14.917
46143.87299;14.0824
57717.84198;13.333
72194.83469;12.583
90302.99778;11.8086
112953.1142;11.1149
141284.41272;10.5359
176721.86746;9.9884
221047.8696;9.4124
276491.87594;8.8616
345842.54352;8.3999
432587.99016;8.0037
541091.2357;7.6209
676809.64801;7.2339
846569.4312;6.8391
1058908.962;6.4375
1324508.24288;6.0377
1656726.07224;5.6571
2072271.94937;5.3341
2592046.50913;5.0854
3242192.75735;4.8618
4055410.98078;4.6201
5072603.46743;4.3677
6344931.76148;4.1208
7936389.92606;3.8875
9927023.24096;3.6698
12416954.22537;3.4731
15531418.48189;3.3053
19427063.64874;3.1746
